,id,address,location,btc_format,num_txs,last_txs,entity,timezone,offsset,timezone_2
0,27,1FeZXDcxSzdfCN1Svz8CSX5PbJDh2neaNT,Sweden,Valid Format,11,2014-12-01,Entity 2436,Europe/Stockholm,1.0,Europe/Stockholm
1,30,1JXFXUBGs2ZtEDAQMdZ3tkCKo38nT2XSEp,Un-United Kingdom,Valid Format,24,2014-09-07,Entity 1827,Europe/London,0.0,fictitious
2,51,1BekNv7ezkx8eAjdkrUta2BTp9bbxU9LGG,Carolina,Valid Format,3,2014-09-23,Entity 4521,,,multiple timezones
3,203,1CHQHCENZPncS2rjiT4CEXWx7wJeq3cS2X,127.0.0.1,Valid Format,66,2025-10-12,Entity 4522,,,fictitious
4,271,1E8ydXZKFLG6zHdcZoRjRT4m4AYgYYjyAi,"Amsterdam, Netherlands",Valid Format,10,2017-03-01,Entity 2497,Europe/Amsterdam,1.0,Europe/Amsterdam
5,413,1GCDzqmX2Cf513E8NeThNHxiYEivU1Chhe,USA,Valid Format,35,2017-01-08,,America/New_York,-5.0,multiple timezones
6,495,1CMhPW7ShqVSD1eZEYHnKyyAmGNfNmp7uk,Valencia,Valid Format,2,2013-04-02,,Europe/Madrid,1.0,Europe/Madrid
7,541,1BrufViLKnSWtuWGkryPsKsxonV2NQ7Tcj,USA,Valid Format,844,2018-11-17,Entity 4524,America/New_York,-5.0,multiple timezones
8,575,1Guy1JarSpEhxb94VYMYRvTMhqbAgdnCtL,Finland,Valid Format,4,2016-11-24,Entity 3139,Europe/Helsinki,2.0,Europe/Helsinki
9,667,1MifMqtqqwMMAbb6zr8u6qEzWqq3CQeGUr,Planet Earth,Valid Format,41,2014-11-24,Entity 4526,,,fictitious
10,1929,1DavouTAsveznCFHsz688xvbrRAq4u2qm8,Paris,Valid Format,356,2018-09-13,Entity 249,Europe/Paris,1.0,Europe/Paris
11,2062,1BcQPKcvgLtBp8ZrRSHWewpd3h97BqEQb3,UK,Valid Format,41,2022-02-23,Entity 1383,Europe/London,0.0,Europe/London
12,2285,1F417eczAAbh41V4oLGNf3DqXLY72hsM73,"Bratislava, Slovakia",Valid Format,11,2013-10-22,Entity 2427,Europe/Bratislava,1.0,Europe/Bratislava
13,3420,1Doog7asLrYah3yeUppBVj8nUYnFkmXm2N,Canada,Valid Format,128,2015-11-21,,America/Toronto,-5.0,multiple timezones
14,3480,1FbVmyNtBsEZN5SptSSNyHShf7ubSwFurh,USA,Valid Format,2,2016-03-12,Entity 4537,America/New_York,-5.0,multiple timezones
15,4218,1M2ykXxKaMwStGtn7N3zQTWixf3qLxYNGz,USA,Valid Format,179,2022-03-15,Entity 4540,America/New_York,-5.0,multiple timezones
16,4241,1Htngoub84nDw8UyXmiKcPkXtnM22CwW9v,NC,Valid Format,25,2018-03-11,Entity 1767,America/New_York,-5.0,America/New_York
17,4311,16ZdM9tQdjoMtXxHX574LhkNtPeWUY6vbF,Moscow,Valid Format,2,2014-07-28,,Europe/Moscow,3.0,Europe/Moscow
18,5097,1Edcg8avQffj7K2sth8nFWXH96DxYDxtdM,Egypt,Valid Format,2,2011-04-25,Entity 3326,Africa/Cairo,2.0,Africa/Cairo
19,5123,1Lcd4bmrSytyDzHYdz7pyx11vrswcERM5k,California,Valid Format,1,2014-09-07,Entity 4104,America/Los_Angeles,-8.0,America/Los_Angeles
20,5434,1Fbdrx99hE5ycKwVovGF8EKJA5Nwxsa5Bw,Switzerland,Valid Format,2,2013-04-26,Entity 4080,Europe/Zurich,1.0,Europe/Zurich
21,6535,1FTLianGMKWCk2g9dkzu6T9WxeroN39Jo6,"Keene, The Shire",Valid Format,910,2020-09-08,Entity 4547,,,fictitious
22,7250,1MEyKbVbmMVzVxLdLmt4Zf1SZHFgj56aqg,Oz,Valid Format,6,2011-05-15,Entity 4550,,,fictitious
23,7351,bc1q5l2zwv9e9p98ngprq5klnpxudegkasm72sdhtn,Central CA,Valid Format,2,2025-04-15,,America/Los_Angeles,-8.0,America/Los_Angeles
24,7373,1EwfBVC6BwA6YeqcYZmm3htwykK3MStW6N,The ether,Valid Format,1,2014-09-07,Entity 4551,,,fictitious
25,7562,3BodQam5AdS15nvwSrSE5kRoboSDH4sJ3E,0x5560A89e579C02158C78CB6Fe69539F204a627d6,Valid Format,2,2022-05-21,Entity 4554,,,fictitious
26,8224,1DdQqHWZnz6mBYw6dRVVTkQGybuB3GkjtE,"Edinburg, TX",Valid Format,6,2016-12-04,Entity 2785,America/Chicago,-6.0,America/Chicago
27,8892,3ANiAe7MWN1qCDYKapRpczCDv45LW5ENRZ,"Johannesburg, South Africa",Valid Format,2,2021-04-28,Entity 3333,Africa/Johannesburg,2.0,Africa/Johannesburg
28,9362,1LwSugK8X8kRpV3sex9f8KTjVPc52FPaEq,Am★dam,Valid Format,26,2022-06-04,Entity 1758,Europe/Amsterdam,1.0,fictitious
29,10186,1SoMGuYknDgyYypJPVVKE2teHBN4HDAh3,"England, United Kingdom",Valid Format,238,2020-11-04,Entity 376,Europe/London,0.0,Europe/London
30,10365,1NZHFEQkBVHtBdXj6DuBUwVYZdknuK66aa,Moscow,Valid Format,14,2020-08-11,Entity 2264,Europe/Moscow,3.0,Europe/Moscow
31,10394,1LuisfqKdwXPJXqPK1gBFWWibJerECcoey,"Brisbane, Australia",Valid Format,2,2013-11-09,Entity 3796,Australia/Brisbane,10.0,Australia/Brisbane
32,10695,1PHednyu7gf1zzhKQogKbpvNHQWQGb1Nvu,The Netherlands,Valid Format,15,2014-12-20,Entity 2202,Europe/Amsterdam,1.0,Europe/Amsterdam
33,10804,1DWsHCjeekCe3tRzMuJktHhFrtLQDeodcP,"Syracuse, NY",Valid Format,13,2019-07-23,Entity 2275,America/New_York,-5.0,America/New_York
34,11999,1PLPYw22CieaTpSrpaTT4Jae2vXxxPxCxS,Earth,Valid Format,408,2013-05-21,Entity 4568,,,fictitious
35,12699,1Cu1VCVT45tn21G8fiuuVZTcpdLZPeByKn,USA,Valid Format,32,2014-09-07,Entity 4569,America/New_York,-5.0,multiple timezones
36,12847,1NtML1WswSj9jG4ELkFSBMawretdNEby2a,"Dorking, UK",Valid Format,40,2018-05-23,Entity 1409,Europe/London,0.0,Europe/London
37,13052,3DhVgTBoGqtmBENQLVzgoxLQs7NHfrNaHF,NH,Valid Format,2,2020-05-07,Entity 3521,America/New_York,-5.0,America/New_York
38,13189,1CLARKM6fuKZLNxeXpKmBKWrUkJibvRUcA,"Boston, MA",Valid Format,3,2014-09-07,Entity 3212,America/New_York,-5.0,America/New_York
