,entity,offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%,lifespan_days,0_weekday,1_weekday,2_weekday,3_weekday,4_weekday,5_weekday,6_weekday,7_weekday,8_weekday,9_weekday,10_weekday,11_weekday,12_weekday,13_weekday,14_weekday,15_weekday,16_weekday,17_weekday,18_weekday,19_weekday,20_weekday,21_weekday,22_weekday,23_weekday,0_weekend,1_weekend,2_weekend,3_weekend,4_weekend,5_weekend,6_weekend,7_weekend,8_weekend,9_weekend,10_weekend,11_weekend,12_weekend,13_weekend,14_weekend,15_weekend,16_weekend,17_weekend,18_weekend,19_weekend,20_weekend,21_weekend,22_weekend,23_weekend,total_weekday,total_weekend,region
0,Entity 100,7.0,0.02092050209205021,0.03765690376569038,0.02510460251046025,0.0502092050209205,0.0502092050209205,0.058577405857740586,0.03347280334728033,0.05439330543933055,0.0502092050209205,0.04602510460251046,0.04602510460251046,0.07112970711297072,0.03765690376569038,0.03347280334728033,0.05439330543933055,0.05439330543933055,0.06276150627615062,0.11297071129707113,0.03765690376569038,0.016736401673640166,0.012552301255230125,0.016736401673640166,0.0041841004184100415,0.012552301255230125,215,5.3706380281276624,21,-0.7071067811865477,0.7071067811865474,0.06276150627615062,527.5618287037037,0.022598870056497175,0.05084745762711865,0.02824858757062147,0.05084745762711865,0.06779661016949153,0.07344632768361582,0.03954802259887006,0.04519774011299435,0.03389830508474576,0.05649717514124294,0.05084745762711865,0.05084745762711865,0.02824858757062147,0.022598870056497175,0.05649717514124294,0.07344632768361582,0.0847457627118644,0.062146892655367235,0.03389830508474576,0.022598870056497175,0.011299435028248588,0.01694915254237288,0.005649717514124294,0.011299435028248588,0.023255813953488372,0.011627906976744186,0.023255813953488372,0.046511627906976744,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.08139534883720931,0.023255813953488372,0.03488372093023256,0.10465116279069768,0.05813953488372093,0.05813953488372093,0.046511627906976744,0.011627906976744186,0.011627906976744186,0.19767441860465115,0.046511627906976744,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.023255813953488372,153.0,62.0,East_Asia_Pac
1,Entity 1000,2.0,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.08928571428571429,0.03571428571428571,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.03571428571428571,32,3.4657359027997265,16,-0.8660254037844384,-0.5000000000000004,0.10714285714285714,125.70032407407408,0.1,0.1,0.08,0.04,0.02,0.02,0.04,0.02,0.04,0.04,0.08,0.04,0.06,0.04,0.02,0.02,0.02,0.04,0.02,0.04,0.02,0.04,0.02,0.04,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,26.0,6.0,Euro_Africa
2,Entity 1001,2.0,0.034482758620689655,0.034482758620689655,0.05172413793103448,0.05172413793103448,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.1724137931034483,0.05172413793103448,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,34,3.5263605246161616,20,-0.8660254037844386,0.5000000000000001,0.08620689655172414,1093.0239814814815,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.05357142857142857,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,32.0,2.0,Euro_Africa
3,Entity 1002,-5.0,0.05357142857142857,0.07142857142857142,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.125,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.07142857142857142,0.05357142857142857,0.03571428571428571,0.10714285714285714,32,3.4657359027997265,4,0.8660254037844386,0.5000000000000001,0.08928571428571427,1229.2209953703705,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.14285714285714285,21.0,11.0,America
5,Entity 1004,7.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.08620689655172414,0.06896551724137931,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.08620689655172414,0.017241379310344827,0.10344827586206896,0.05172413793103448,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.06896551724137931,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.017241379310344827,34,3.5263605246161616,23,-0.25881904510252157,0.9659258262890681,0.08620689655172414,431.0261574074074,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.05660377358490566,0.05660377358490566,0.07547169811320754,0.05660377358490566,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.09433962264150944,0.018867924528301886,0.11320754716981132,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.05660377358490566,0.03773584905660377,0.07547169811320754,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,29.0,5.0,East_Asia_Pac
7,Entity 1005,5.5,0.047619047619047616,0.031746031746031744,0.09523809523809523,0.06349206349206349,0.031746031746031744,0.07936507936507936,0.09523809523809523,0.015873015873015872,0.015873015873015872,0.06349206349206349,0.031746031746031744,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.07936507936507936,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.015873015873015872,39,3.6635616461296463,20,-0.8660254037844386,0.5000000000000001,0.1111111111111111,412.7518865740741,0.0625,0.041666666666666664,0.125,0.041666666666666664,0.020833333333333332,0.0625,0.0625,0.020833333333333332,0.020833333333333332,0.0625,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.0625,0.041666666666666664,0.0625,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.07692307692307693,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,24.0,15.0,Central_South_Asia
8,Entity 1006,5.5,0.023809523809523808,0.03273809523809524,0.047619047619047616,0.047619047619047616,0.03571428571428571,0.02976190476190476,0.03273809523809524,0.023809523809523808,0.044642857142857144,0.02976190476190476,0.05952380952380952,0.05654761904761905,0.08035714285714286,0.03571428571428571,0.07142857142857142,0.044642857142857144,0.05952380952380952,0.11011904761904762,0.050595238095238096,0.03869047619047619,0.017857142857142856,0.002976190476190476,0.011904761904761904,0.011904761904761904,312,5.7430031878094825,22,-0.5000000000000004,0.8660254037844384,0.06845238095238095,1396.1408564814815,0.03225806451612903,0.036290322580645164,0.04435483870967742,0.036290322580645164,0.04435483870967742,0.020161290322580645,0.028225806451612902,0.028225806451612902,0.04838709677419355,0.028225806451612902,0.05241935483870968,0.06854838709677419,0.08064516129032258,0.036290322580645164,0.06048387096774194,0.03225806451612903,0.056451612903225805,0.10483870967741936,0.05241935483870968,0.04838709677419355,0.024193548387096774,0.004032258064516129,0.016129032258064516,0.016129032258064516,0.008928571428571428,0.026785714285714284,0.05357142857142857,0.07142857142857142,0.017857142857142856,0.05357142857142857,0.044642857142857144,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.026785714285714284,0.07142857142857142,0.03571428571428571,0.08928571428571429,0.07142857142857142,0.0625,0.10714285714285714,0.044642857142857144,0.017857142857142856,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,224.0,88.0,Central_South_Asia
10,Entity 1007,8.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.14545454545454545,0.18181818181818182,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.14545454545454545,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,31,3.4339872044851463,19,-0.9659258262890684,0.2588190451025203,0.09090909090909091,271.68107638888887,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.10416666666666667,0.20833333333333334,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.14583333333333334,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,24.0,7.0,East_Asia_Pac
12,Entity 10076,-5.0,0.02857142857142857,0.13333333333333333,0.0380952380952381,0.0380952380952381,0.05714285714285714,0.0380952380952381,0.047619047619047616,0.01904761904761905,0.02857142857142857,0.0761904761904762,0.01904761904761905,0.0380952380952381,0.05714285714285714,0.01904761904761905,0.01904761904761905,0.047619047619047616,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.06666666666666667,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,81,4.394449154672439,22,-0.5000000000000004,0.8660254037844384,0.14285714285714285,374.56056712962965,0.04,0.12,0.04,0.04,0.02666666666666667,0.05333333333333334,0.05333333333333334,0.013333333333333334,0.02666666666666667,0.10666666666666667,0.02666666666666667,0.013333333333333334,0.06666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.04,0.04,0.04,0.05333333333333334,0.013333333333333334,0.04,0.02666666666666667,0.04,0.018518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.09259259259259259,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.018518518518518517,51.0,30.0,America
13,Entity 1008,10.5,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.08928571428571429,0.03571428571428571,0.07142857142857142,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.03571428571428571,0.03571428571428571,0.03571428571428571,32,3.4657359027997265,17,-0.9659258262890683,-0.25881904510252063,0.10714285714285714,1937.9659606481482,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,19.0,13.0,East_Asia_Pac
