entity,region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%
Entity 0,Central_Asia,0.02519058667550547,0.04308916141862778,0.04209479615512098,0.04971826317533974,0.030162412993039442,0.05071262843884654,0.03480278422273782,0.06397083195227046,0.0765661252900232,0.08485250248591315,0.0381173351010938,0.036128604574080216,0.03546569439840901,0.0576731852833941,0.059330460722572094,0.02883659264169705,0.03480278422273782,0.03646005966191581,0.01358965860125953,0.030162412993039442,0.014584023864766324,0.033476963871395427,0.043752071594298975,0.03646005966191581,2993,8.0040315078527,19,-0.9659258262890684,0.2588190451025203,0.12827311899237653
Entity 1,East_Asia_Pac,0.006951340615690168,0.020854021847070508,0.06554121151936444,0.06951340615690169,0.07745779543197617,0.04568023833167825,0.04965243296921549,0.0605759682224429,0.05858987090367428,0.07249255213505462,0.06852035749751738,0.06852035749751738,0.05759682224428997,0.06554121151936444,0.04568023833167825,0.04369414101290963,0.041708043694141016,0.03574975173783516,0.005958291956305859,0.00893743793445879,0.009930486593843098,0.006951340615690168,0.005958291956305859,0.007944389275074478,983,6.890609120147166,22,-0.5000000000000004,0.8660254037844384,0.03773584905660377
Entity 10,Euro_Africa,0.06446067898581866,0.054146970348087665,0.052857756768371296,0.03308981521272024,0.02621400945423292,0.02750322303394929,0.018048990116029222,0.015900300816501935,0.0111731843575419,0.02578427159432746,0.02019767941555651,0.027073485174043833,0.027932960893854747,0.030511388053287496,0.04512247529007306,0.03910614525139665,0.05672539750752041,0.06102277610657499,0.05371723248818221,0.05844434894714224,0.061452513966480445,0.055865921787709494,0.0670391061452514,0.06660936828534594,2303,7.741967899820685,8,0.8660254037844387,-0.4999999999999998,0.09110442629995702
Entity 100,East_Asia_Pac,0.008368200836820083,0.02092050209205021,0.029288702928870293,0.02510460251046025,0.029288702928870293,0.07112970711297072,0.02510460251046025,0.06276150627615062,0.05439330543933055,0.03765690376569038,0.06276150627615062,0.03347280334728033,0.058577405857740586,0.0502092050209205,0.0502092050209205,0.02092050209205021,0.058577405857740586,0.06694560669456066,0.11297071129707113,0.058577405857740586,0.02510460251046025,0.008368200836820083,0.02092050209205021,0.008368200836820083,215,5.3706380281276624,23,-0.25881904510252157,0.9659258262890681,0.06694560669456066
Entity 1000,Euro_Africa,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.017857142857142856,32,3.4657359027997265,18,-1.0,-1.8369701987210297e-16,0.10714285714285714
Entity 1001,Euro_Africa,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,34,3.5263605246161616,22,-0.5000000000000004,0.8660254037844384,0.08620689655172414
Entity 1002,America,0.03571428571428571,0.125,0.07142857142857142,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.017857142857142856,0.07142857142857142,0.05357142857142857,0.03571428571428571,32,3.4657359027997265,5,0.9659258262890683,0.25881904510252074,0.08928571428571427
Entity 1003,East_Asia_Pac,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,5,1.6094379124341003,11,0.258819045102521,-0.9659258262890682,0.1724137931034483
Entity 1004,East_Asia_Pac,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.08620689655172414,0.08620689655172414,0.06896551724137931,0.06896551724137931,0.017241379310344827,0.034482758620689655,0.08620689655172414,0.017241379310344827,0.08620689655172414,0.06896551724137931,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.017241379310344827,34,3.5263605246161616,1,0.25881904510252074,0.9659258262890683,0.08620689655172414
Entity 10045,America,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,1,0.0,2,0.49999999999999994,0.8660254037844387,0.2
