,mean,quantile_2.5%,quantile_97.5%
America_precision,0.6667254686645917,0.6016949152542372,0.7368553960659223
America_recall,0.6958584905660378,0.6132075471698113,0.7735849056603774
America_f1-score,0.6801503381604378,0.6213592233009708,0.7358738828202581
America_support,106.0,106.0,106.0
Euro_Africa_precision,0.5116738304183296,0.4488053217485745,0.5790191387559808
Euro_Africa_recall,0.6412315789473685,0.5473684210526316,0.7368421052631579
Euro_Africa_f1-score,0.5683258726581752,0.5048520573277855,0.6325581395348837
Euro_Africa_support,95.0,95.0,95.0
Central_Asia_precision,0.6754120516774614,0.6148015873015873,0.7419650784255697
Central_Asia_recall,0.5901643835616438,0.5205479452054794,0.6643835616438356
Central_Asia_f1-score,0.6291106993850283,0.5724907063197026,0.685517415446744
Central_Asia_support,146.0,146.0,146.0
East_Asia_Pac_precision,0.7218775559240073,0.6612869901359637,0.788135593220339
East_Asia_Pac_recall,0.6640791366906474,0.5899280575539568,0.7410071942446043
East_Asia_Pac_f1-score,0.691031027470213,0.6360153256704981,0.7428571428571429
East_Asia_Pac_support,139.0,139.0,139.0
accuracy,0.6443395061728395,0.6069958847736625,0.6810699588477366
macro avg_precision,0.6439222266710976,0.6076603418962561,0.6813537900423078
macro avg_recall,0.6478333974414244,0.6104217188070223,0.6867922843167699
macro avg_f1-score,0.6421544844184637,0.6063103997457577,0.6796882356218792
macro avg_support,486.0,486.0,486.0
weighted avg_precision,0.65480052137147,0.6188623648155948,0.6925390099902514
weighted avg_recall,0.6443395061728395,0.6069958847736625,0.6810699588477366
weighted avg_f1-score,0.6460707174405489,0.6099569911911813,0.682587791934992
weighted avg_support,486.0,486.0,486.0
